Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Bolsonaro pede divórcio após suposto envolvimento de Michelle Bolsonaro com o banqueiro Daniel Vorcaro,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/22/falso-divorcio-jair-michelle-bolsonaro-daniel-vorcaro.ghtm,Falso,2026-05-22 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTxfrYqOoKRflsjLuw4JUSD2z0-pvSaQrIzH0R9UPfMq-0iVYcj,"['Michelle Bolsonaro', 'Jair Bolsonaro', 'Daniel Vorcaro', 'Divórcio']"
Intercept pediu desculpas e disse não ter provas para reportagem sobre cinebiografia de Jair Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/e-falso-que-intercept-tenha-pedido-desculpas-por-reportagem-sobre-cinebiografia-de-bolsonaro/,Falso,2026-05-21 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCsmiqCeZNNmwXoYs2nzaNcFj0Yx7k2012CjN_EQB2uCER3ijY,"['Jair Bolsonaro', 'The Intercept', 'Reportagem', 'Biográfico']"
"""AQUI É BOLSONARO!"" Foi com essa frase, aos gritos de uma multidão em Copacabana, que Shakira teria protagonizado um dos momentos mais explosivos da história dos shows no Brasil. Enquanto a plateia ia ao delírio, bastidores ferviam com tentativas de interrupção e revolta de setores da mídia.",Observador,https://observador.pt/factchecks/fact-check-shakira-declara-apoio-a-bolsonaro-em-concerto-em-copacabana/,Errado,2026-05-20 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Shakira', 'Jair Bolsonaro', 'Copacabana', 'Espetáculo', 'Eduardo Bolsonaro', 'Brasil', 'História', 'Inteligência artificial']"
"Tema musical do filme sobre Jair Bolsonaro, está sendo uma das mais tocadas nos Estados Unidos",BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/20/falso-musica-tema-filme-bolsonaro-mais-tocadas-eua.ghtm,Falso,2026-05-20 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSrVKX0TrHUEmFHS98yjQC8lP9VG4VDGJeYnK_Bsuc48oOsu2O0,"['Jair Bolsonaro', 'Música-tema', 'Música', 'Estados Unidos', 'Filme']"
Nunes Marques tornou Bolsonaro elegível novamente,Aos Fatos,https://www.aosfatos.org/noticias/nunes-marques-bolsonaro-elegivel/,falso,2026-05-19 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSFEny-cIwYUbTn8LCeERh4iUUid7vn9hZ9BT1Pn3vjAiquyCym,"['Nunes Marques', 'Jair Bolsonaro']"
The Intercept Brasil pediu desculpas e disse não ter provas que liguem família Bolsonaro ao caso Master,Aos Fatos,https://www.aosfatos.org/noticias/intercept-provas-vorcaro-filme-bolsonaro/,falso,2026-05-18 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRO_x9FzloaA8VpugjC5E80NEMKIxKcoX02dbETKdpP75oH4UqV,"['Jair Bolsonaro', 'The Intercept', 'Brasil', 'Prova']"
Vídeo mostra Bolsonaro ‘embolsando’ objeto dourado,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-roubando-moeda-ouro/,falso,2026-05-15 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTO1H1GJ5yTFS1hC4u7hcCioq-RkS5IuBdLEF8EOXPVT7bytv0p,"['Jair Bolsonaro', 'Vídeo', 'Dourado', 'Objeto']"
Intercept admite não ter provas do pagamento do valor para o filme de Bolsonaro,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/15/falso-intercept-admitiu-nao-provas-flavio-bolsonaro-vorcaro.ghtm,Falso,2026-05-15 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ76Aay9nuhAJ3E9q97-hA_83BujujDUk7PmGVGZ0IlgxG1EMcg,"['The Intercept', 'Jair Bolsonaro', 'Filme']"
Zico critica Bolsonaro em entrevista,AFP Checamos,https://checamos.afp.com/doc.afp.com.B2VD69K,Falso,2026-05-14 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTbEJ5tcfd-K2Dp3nqpLEnX2YPFtQPyn8Z4jiP6ny_6JUMp_QHQ,"['Zico', 'Jair Bolsonaro', 'Entrevista']"
"A Anvisa mandou recolher produtos da marca Ypê com base em acusações sem provas e por motivação política, já que diretores da empresa doaram R$ 1 milhão para a campanha de Jair Bolsonaro em 2022.",Estadão,https://www.estadao.com.br/estadao-verifica/videos-enganam-motivacao-politica-inspecao-anvisa-fabrica-ype/,Enganoso,2026-05-12 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQgCNawJuViobbkNsokasJI6_1fa8KD3Mv1oa9nzcBL8lum7utz,"['Anvisa', 'Ypê', 'Agência Nacional de Vigilância Sanitária', 'Produto', 'Jair Bolsonaro', 'Empresa', '2022', 'Político', 'Motivação']"
Bolsonaro deixa hospital com gritos de 'Força Bolsonaro' e 'mito',AFP Checamos,https://checamos.afp.com/doc.afp.com.B2HX2NQ,Enganoso,2026-05-11 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTXjl1Mu-639hor2XbFrV5AIEr-RnZUhYoJlEfPI1NrSBu2u3-D,"['Jair Bolsonaro', 'Hospital']"
Lula foge do palácio aos gritos de volta Bolsonaro,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/07/lula-nao-saiu-do-palco-apos-gritos-pro-bolsonaro-audio-e-manipulado.ghtm,Falso,2026-05-07 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRZ6abGEWUU4Cgqwoa6JezPMJHI8r7f2jet680s5S2ivqVkFOT8,"['Luiz Inácio Lula da Silva', 'Jair Bolsonaro', 'Grito']"
Shakira delcarou apoio a Flávio e a Jair Bolsonaro durante show em Copacabana,AFP Checamos,https://checamos.afp.com/doc.afp.com.B22G4WE,Falso,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSxqQiuqnNWEFs9PZHc-H-trjN_HPWwT6nofYZ9F6ccCOCYBrE_,"['Shakira', 'Jair Bolsonaro', 'Flávio Bolsonaro', 'Espetáculo', 'Copacabana']"
Jair Renan filho de Bolsonaro é alvo de operação policial em 2026,AFP Checamos,https://checamos.afp.com/doc.afp.com.A9ZT363,Enganoso,2026-05-06 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQqK530FmiITbKQu_yj6HsGFyzmjK_cbh-azDGKyzfhptCGEd0R,"['Jair Renan Bolsonaro', 'Jair Bolsonaro', '2026', 'Polícia']"
"Shakira declarou apoio a Bolsonaro durante show em Copacabana, no Rio",BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/05/shakira-nao-deu-declaracao-de-apoio-a-bolsonaro-video-e-ia.ghtm,Falso,2026-05-05 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTidDxHHXqMpqFLQJmRIqrqNnrt-U6_PRuRDlezwEjGdIFYbgfm,"['Shakira', 'Jair Bolsonaro', 'Rio de Janeiro', 'Espetáculo', 'Copacabana']"
Shakira declarou apoio a Jair Bolsonaro durante show em Copacabana,Aos Fatos,https://www.aosfatos.org/noticias/shakira-lula-bolsonaro-show-brasil/,falso,2026-05-04 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4WqwPPD1Q5Ioa2y6ehyV3nk9vnuJVjFfRTPfYnb7LQhKBzK-f,"['Jair Bolsonaro', 'Shakira', 'Espetáculo', 'Copacabana']"
Polícia Federal confirma: Bolsonaro nunca usou cartão corporativo da Presidência,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/03/pf-nao-disse-que-bolsonaro-nao-usou-cartao-corporativo-durante-mandato.ghtm,Falso,2026-05-03 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSzQkWh3Wqq4z409RkmRG15dp-LWYXJdzq06BbD7Ze5h8rArvy,"['Jair Bolsonaro', 'Polícia Federal', 'Departamento de Polícia Federal', 'Cartão de visita', 'Polícia', 'Presidente do Brasil']"
Malafaia detona Flávio Bolsonaro e filme Dark Horse após divulgação de áudios com Vorcaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.B3ZB4CQ,Falso,2026-05-25 22:01:01,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRQwbm68USUk5Rks2ch-xNOCR3JMvftzFkGAD8i5BFJSxGjCarW,"['Flávio Bolsonaro', 'Silas Malafaia', 'Daniel Vorcaro', 'Dark Horse', 'Filme']"
Vaza conversas íntimas de Michelle Bolsonaro e Daniel Vorcaro,Estadão,https://www.estadao.com.br/estadao-verifica/michelle-bolsonaro-affair-vorcaro-ataque-genero/,Falso,2026-05-25 14:23:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2LDid02dkKePqA8RpTa6cAvkSO_MXH6I08KO5tKvKa_SiFe6W,"['Michelle Bolsonaro', 'Daniel Vorcaro']"
Vorcaro revelou participação de Lulinha e Moraes em atentado a faca contra Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/falso-daniel-vorcaro-revelacoes-sobre-adelio-bispo/,Falso,2026-04-30 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQU8dPBdaZyDdH2FqeqShXaQ7e0aA4EG6H9N9E5ooN0I2_aGr6O,"['Daniel Vorcaro', 'Jair Bolsonaro', 'Fábio Luís Lula da Silva', 'Alexandre de Moraes', 'Faca']"
Daniel Vorcaro delatou à Polícia Federal participação de Lulinha e de Moraes em atentado a Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.A9HU89E,Falso,2026-04-30 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSeOq3yZEWkg-Ld2RIK6Ujl-vRvwfzBPN1kWFIF0LNN9BIrZ4mb,"['Daniel Vorcaro', 'Fábio Luís Lula da Silva', 'Alexandre de Moraes', 'Jair Bolsonaro', 'Departamento de Polícia Federal', 'Polícia Federal', 'Polícia']"
Flávio Bolsonaro vai acabar com o Bolsa Família e retornar com o Auxílio Brasil de R$ 1.200,Aos Fatos,https://www.aosfatos.org/noticias/flavio-bolsonaro-bolsa-familia/,falso,2026-05-22 16:30:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNF9zuOsQQqmY-UFtBq7_xm7UBziHZzFzNKl3WI0rGdP3k-G5_,"['Flávio Bolsonaro', 'Bolsa Família', 'Auxílio Brasil']"
Silas Malafaia ‘detona’ Flávio Bolsonaro e cinebiografia de ex-presidente em vídeo,Aos Fatos,https://www.aosfatos.org/noticias/malafaia-flavio-bolsonaro-dark-horse/,falso,2026-05-22 15:56:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSJJfkIa-1nGs57e_cIsLx3cuyhlNSG8CaP4prow95FdYLqa5rf,"['Flávio Bolsonaro', 'Silas Malafaia', 'Vídeo', 'Presidente', 'Biográfico']"
Daniel Vorcaro entregou em delação quem foi responsável pelo atentado contra Bolsonaro em 2018,Aos Fatos,https://www.aosfatos.org/noticias/vorcaro-delatou-mandante-atentado-bolsonaro/,falso,2026-04-28 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSbqMdMX7Kgb1_2HcyGlYFNQ8OuUifBFw76CZ4rYSWicI_x6rz2,"['Daniel Vorcaro', 'Jair Bolsonaro', 'Atentado contra Jair Bolsonaro', 'Delação premiada', '2018']"
Silas Malafaia detona e mostra que já soltou a mão de Flávio Bolsonaro,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/21/enganoso-video-silas-malafaia-critica-flavio-bolsonaro-filme.ghtm,Distorcido,2026-05-21 18:34:56,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRLD76-SAqZsCpSVmMBXD20-ASlHJDBWtOzSN-O4Yf-SryQqzlJ,"['Flávio Bolsonaro', 'Silas Malafaia']"
PF conclui que troca de mensagens entre Flávio Bolsonaro e Vorcaro não apresenta indícios de crime,AFP Checamos,https://checamos.afp.com/doc.afp.com.B3LY39F,Falso,2026-05-21 15:25:08,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlO6RoW2z32_Dk635rLLieEyAFIK63g-rn264rf9cUi1BPcAky,"['Flávio Bolsonaro', 'Daniel Vorcaro', 'Departamento de Polícia Federal', 'Polícia Federal', 'Crime', 'Mensagem']"
