Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Flávio e Eduardo Bolsonaro pedem doações para custear processo do pai,Aos Fatos,https://www.aosfatos.org/noticias/golpistas-manipulam-videos-familia-bolsonaro-ia-campanha-arrecadacao-falsa/,falso,2025-11-28 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR66WuIHaupbCU5_9EiM3Hglkrh3egiBfV3KEtQoh5yqzZ2pVbY,"['Flávio Bolsonaro', 'Eduardo Bolsonaro', 'Pai', 'Doação']"
Marçal gastou zero reais em campanha eleitoral,Aos Fatos,https://www.aosfatos.org/noticias/falso-campanha-pablo-marcal-custo-zero/,falso,2024-10-07 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSkUPIS8E2gK1j67rC3SIa9I_KftKgdHd_PnIkRJHCyEcCrac75,"['Pablo Marçal', 'Eleição', 'Campanha eleitoral']"
Fraudes no INSS financiaram campanhas eleitorais do PT,Estadão,https://www.estadao.com.br/estadao-verifica/careca-inss-financiou-campanha-pt-dilma-enganoso/,Enganoso,2025-10-03 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTTM2I67wLzZAazd6HZZHEmKmMOiX09TxB0MzfsC_xJNbi4qFd9,"['Partido dos Trabalhadores', 'Instituto Nacional do Seguro Social', 'INSS', 'Partido dos Trabalhadores', 'Esquema de fraudes no INSS', 'Eleição', 'Campanha eleitoral', 'Fraude']"
"Pablo Marçal gastou R$ 0,00 na campanha à Prefeitura de São Paulo",Estadão,https://www.estadao.com.br/estadao-verifica/pablo-marcal-zero-gasto-falso/,Falso,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTYlp0-m1wtUrrB9cknSc11_fJisgpO9178-J11nELDaFFnaTg-,"['Pablo Marçal', 'Alexandre Campanha de Campos', 'São Paulo', 'São Paulo']"
Personalidades fazem campanha em apoio a Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.79P33CR,Falso,2025-10-22 07:00:00,,"['Jair Bolsonaro', 'Personalidade']"
"""Careca do INSS"" doou R$ 1 milhão para Jair Bolsonaro nas eleições de 2022",Estadão,https://www.estadao.com.br/estadao-verifica/site-do-tse-mostra-que-careca-do-inss-doou-r-1-a-campanha-de-bolsonaro-em-2022-e-nao-r-1-milhao/,Falso,2025-09-15 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRo2fBJsIDHfIzPhsmMvEsO3c4pMwAJzUg-5mVYnHjOpIfusH43,"['Careca do INSS', 'Jair Bolsonaro', '2022', 'Eleição', 'Eleições presidenciais brasileiras, 2022']"
Reportagem de Cabrini revelou que fraude do INSS financiou campanha de Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/reportagem-da-record-nao-revelou-que-fraude-do-inss-financiou-campanha-de-bolsonaro/,falso,2025-05-23 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ6DznjXxmP7EhlZXRML0VTNOgU_S4fuMKAtovnpyrT8p1YVI-S,"['Jair Bolsonaro', 'Instituto Nacional do Seguro Social', 'INSS', 'Reportagem', 'Esquema de fraudes no INSS', 'Fraude', 'Campanha presidencial de Jair Bolsonaro em 2022', 'Roberto Cabrini']"
Jornada da Maitê,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/11/28/falsa-campanha-ajuda-maite-golpe.htm,Falso,2025-11-28 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSfxIbs3rHt600MTOKn8JudtaHjlqtlfScyHiqK02YRuJctendJ,[]
Foto antiga mostra Bolsonaro em campanha para vereador,Aos Fatos,https://www.aosfatos.org/noticias/foto-bolsonaro-campanha-vereador/,falso,2022-05-11 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUcTvvhSGMYQGrqFYfXw11l37UVpQRdKimcE6EGRkmSCM1OoGC,"['Jair Bolsonaro', 'Vereador', 'Fotografia']"
"O meu pai foi despedido da DесаthІоn após cinco anos de trabalho devido a problemas de saúde. Após o lançamento do novo modelo, retiraram os produtos antigos do [site], mas ainda existe uma hiperligação que permite obter uma mochila Тhе Nоrth Fасе - bastando para isso responder a algumas perguntas.",Observador,https://observador.pt/factchecks/fact-check-decathlon-faz-campanha-com-mochilas-a-dois-euros/,Errado,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Mochila', 'Devido', 'Saúde', 'Trabalho', 'Hiperligação', 'Produto']"
