Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Lula foi o que mais gastou em viagens na história do mundo,Estadão,https://www.estadao.com.br/estadao-verifica/lula-nao-gastou-sozinho-7-bilhoes-viagens/,Enganoso,2026-05-25 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmSYC1QucLvrKLAyJHpv7Sm7eVepblGkbokj1b6FTd8rNYAMDr,"['Luiz Inácio Lula da Silva', 'Viagem', 'Mundo']"
Lula recebeu mala com dinheiro de Daniel Vorcaro,Estadão,https://www.estadao.com.br/estadao-verifica/lula-mala-dinheiro-master-pf-falso/,Falso,2026-05-22 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSrk8ERNk93TKCuDIkrBrmMnQszrY_R86NW1Lz3pq7QO_hjpAXo,"['Luiz Inácio Lula da Silva', 'Daniel Vorcaro', 'Dinheiro']"
Presidente Lula foi flagrado com mala de dinheiro de Daniel Vorcaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.B3RX8ZQ,Falso,2026-05-22 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSRTJwqDtADN7_hmCSiqXHucp0zcCdE04fFn9y5s-b2vfohcA0l,"['Daniel Vorcaro', 'Luiz Inácio Lula da Silva', 'Dinheiro', 'Presidente', 'Mala']"
Deputado do RN ameaça Lula com arma,Estadão,https://www.estadao.com.br/estadao-verifica/deputano-rn-ameaca-lula-em-evento-natal-fora-contexto/,Enganoso,2026-05-22 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTmjCby4Ew4hW6x5gBzzz8GTA0-ohF2TbcvPSKW0gQcdfOjuMEj,"['Luiz Inácio Lula da Silva', 'Deputado', 'Rio Grande do Norte', 'Deputado Estadual do Rio Grande do Norte', 'Arma']"
Lula cria 5 mil empregos para chineses na Bahia enquanto o estado sofre com desemprego,Aos Fatos,https://www.aosfatos.org/noticias/militares-chineses-farda-pm-baiana/,falso,2026-05-19 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT92JlZ2bcYwEZUR8U-pjIrarItZOyJPmpUcEfEZ2dbOtxP9vha,"['Bahia', 'Desemprego', 'Luiz Inácio Lula da Silva']"
"Pesquisas apontam que Lula deve vencer ainda no primeiro turno com 72,9%",AFP Checamos,https://checamos.afp.com/doc.afp.com.B39V367,Falso,2026-05-19 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSkpXMX0zGmaSL7grLveghOz-T4W_lCaTahknDbFcjSfSGkzlNm,['Luiz Inácio Lula da Silva']
“LULA ACABA DE SER EXPULSO DA CASA BRANCA POR TRUMP! JANJA CHORA!,Observador,https://observador.pt/factchecks/fact-check-donald-trump-expulsou-lula-da-silva-da-casa-branca/,Errado,2026-05-18 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Luiz Inácio Lula da Silva', 'Donald Trump', 'Casa Branca', 'Janja Lula da Silva']"
Lula é capa da revista Time em maio de 2026,Estadão,https://www.estadao.com.br/estadao-verifica/capa-time-lula-2022-antiga/,Fora de contexto,2026-05-15 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTIXePaGkdIols0xIzKv9HEkfjQ2OUwmTtdbI4lAkt2kXty346Q,"['Luiz Inácio Lula da Silva', 'Time', 'Revista', '2026', 'Maio']"
Lula é capa da revista Time nesta semana,AFP Checamos,https://checamos.afp.com/doc.afp.com.B2VP2T3,Enganoso,2026-05-14 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTXSnpLk_5hZHqAZz1ABS6aFmmeyDZ7ojYRYhC94oQ8lsVm7O6y,"['Luiz Inácio Lula da Silva', 'Time', 'Revista', 'Semana']"
"O presidente LULA acaba de virar capa da TIME, uma das maiores revistas do mundo!",BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/14/enganoso-lula-capa-revista-time.amp.htm,Distorcido,2026-05-14 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRvugmorf8k8xLKC0OYjmToyMR_DhndFjhoGzvN27PH0hMMqwCx,"['Luiz Inácio Lula da Silva', 'Revista', 'Presidente', 'Mundo']"
