,Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
0,Jair Bolsonaro criou o Pix,Estadão,https://www.estadao.com.br/estadao-verifica/pl-distorce-fatos-ao-alegar-que-bolsonaro-criou-o-pix-sistema-foi-desenvolvido-a-partir-de-2018/,Falso,2026-06-05 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcThAREsnYTqcFmEfdAFS96E6z20usj7GeESG2n1Dt_XxxRd-3aQ,"['Jair Bolsonaro', 'PIX']"
1,Adélio Bispo esteve na Câmara dos Deputados na data do atentado contra Jair Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/adelio-bispo-esteve-na-camara-deputados-volta-circular/,Falso,2026-05-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRp_oQmEHdLX7bVN00WdpT_zDGh6QNJO6gYHQvpcFKzHcWULhvu,"['Adélio Bispo', 'Câmara dos Deputados, Brasil', 'Deputado', 'Jair Bolsonaro', 'Atentado contra Jair Bolsonaro']"
2,Jair Bolsonaro foi absolvido de todas as acusações em maio de 2026,AFP Checamos,https://checamos.afp.com/doc.afp.com.B47Q79E,Falso,2026-05-27 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQxhYBJ7ZtY3siynPl1NGaZNBssYC4hm9HjkL4uCdVv0uzEpABb,"['Jair Bolsonaro', '2026', 'Absolvição', 'Maio']"
3,Bolsonaro pede divórcio após suposto envolvimento de Michelle Bolsonaro com o banqueiro Daniel Vorcaro,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/22/falso-divorcio-jair-michelle-bolsonaro-daniel-vorcaro.ghtm,Falso,2026-05-22 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTxfrYqOoKRflsjLuw4JUSD2z0-pvSaQrIzH0R9UPfMq-0iVYcj,"['Michelle Bolsonaro', 'Daniel Vorcaro', 'Jair Bolsonaro', 'Divórcio']"
4,Intercept pediu desculpas e disse não ter provas para reportagem sobre cinebiografia de Jair Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/e-falso-que-intercept-tenha-pedido-desculpas-por-reportagem-sobre-cinebiografia-de-bolsonaro/,Falso,2026-05-21 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCsmiqCeZNNmwXoYs2nzaNcFj0Yx7k2012CjN_EQB2uCER3ijY,"['Jair Bolsonaro', 'The Intercept', 'Reportagem', 'Biográfico']"
5,"""AQUI É BOLSONARO!"" Foi com essa frase, aos gritos de uma multidão em Copacabana, que Shakira teria protagonizado um dos momentos mais explosivos da história dos shows no Brasil. Enquanto a plateia ia ao delírio, bastidores ferviam com tentativas de interrupção e revolta de setores da mídia.",Observador,https://observador.pt/factchecks/fact-check-shakira-declara-apoio-a-bolsonaro-em-concerto-em-copacabana/,Errado,nan,nan,"['Jair Bolsonaro', 'Shakira', 'Copacabana', 'Espetáculo', 'Eduardo Bolsonaro', 'Brasil', 'Inteligência artificial']"
6,"Tema musical do filme sobre Jair Bolsonaro, está sendo uma das mais tocadas nos Estados Unidos",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/20/falso-musica-tema-filme-bolsonaro-mais-tocadas-eua.ghtm,Falso,2026-05-20 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSrVKX0TrHUEmFHS98yjQC8lP9VG4VDGJeYnK_Bsuc48oOsu2O0,"['Jair Bolsonaro', 'Música-tema', 'Música', 'Filme', 'Estados Unidos']"
7,Nunes Marques tornou Bolsonaro elegível novamente,Aos Fatos,https://www.aosfatos.org/noticias/nunes-marques-bolsonaro-elegivel/,Falso,2026-05-19 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSFEny-cIwYUbTn8LCeERh4iUUid7vn9hZ9BT1Pn3vjAiquyCym,"['Nunes Marques', 'Jair Bolsonaro']"
8,The Intercept Brasil pediu desculpas e disse não ter provas que liguem família Bolsonaro ao caso Master,Aos Fatos,https://www.aosfatos.org/noticias/intercept-provas-vorcaro-filme-bolsonaro/,Falso,2026-05-18 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRO_x9FzloaA8VpugjC5E80NEMKIxKcoX02dbETKdpP75oH4UqV,"['Jair Bolsonaro', 'The Intercept', 'Brasil']"
9,Intercept admite não ter provas do pagamento do valor para o filme de Bolsonaro,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/15/falso-intercept-admitiu-nao-provas-flavio-bolsonaro-vorcaro.ghtm,Falso,2026-05-15 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6a3amSmS89STV5OhlHg8-3gZ7B8fzDBBtp30Vaf3R14s6rrvi,"['The Intercept', 'Jair Bolsonaro', 'Filme', 'Pagamento']"
10,Vídeo mostra Bolsonaro ‘embolsando’ objeto dourado,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-roubando-moeda-ouro/,Falso,2026-05-15 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTO1H1GJ5yTFS1hC4u7hcCioq-RkS5IuBdLEF8EOXPVT7bytv0p,"['Jair Bolsonaro', 'Vídeo', 'Dourado', 'Objeto']"
11,Zico critica Bolsonaro em entrevista,AFP Checamos,https://checamos.afp.com/doc.afp.com.B2VD69K,Falso,2026-05-14 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTbEJ5tcfd-K2Dp3nqpLEnX2YPFtQPyn8Z4jiP6ny_6JUMp_QHQ,"['Jair Bolsonaro', 'Zico', 'Entrevista']"
12,"A Anvisa mandou recolher produtos da marca Ypê com base em acusações sem provas e por motivação política, já que diretores da empresa doaram R$ 1 milhão para a campanha de Jair Bolsonaro em 2022.",Estadão,https://www.estadao.com.br/estadao-verifica/videos-enganam-motivacao-politica-inspecao-anvisa-fabrica-ype/,Falso,2026-05-12 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQgCNawJuViobbkNsokasJI6_1fa8KD3Mv1oa9nzcBL8lum7utz,"['Ypê', 'Anvisa', 'Agência Nacional de Vigilância Sanitária', 'Produto', 'Jair Bolsonaro', 'Empresa', '2022', 'Político', 'Motivação']"
13,Bolsonaro deixa hospital com gritos de 'Força Bolsonaro' e 'mito',AFP Checamos,https://checamos.afp.com/doc.afp.com.B2HX2NQ,Falso,2026-05-11 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTXjl1Mu-639hor2XbFrV5AIEr-RnZUhYoJlEfPI1NrSBu2u3-D,"['Jair Bolsonaro', 'Hospital', 'Mito']"
14,Casa Branca desmente encontro de Flávio Bolsonaro com Donald Trump,AFP Checamos,https://checamos.afp.com/doc.afp.com.B4X69G3,Falso,2026-06-03 20:46:46,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRLbV_GvghehCFyTiKQ3Mt3QyAKAb0Rvc2OL2Ni_J6mq8aWn1s-,"['Flávio Bolsonaro', 'Donald Trump', 'Casa Branca']"
