data_hora,texto_pesquisado,origem,resultado
"2026-06-02 02:06:54.169959","a urna é fraudada?","Google Fact Check","Falso (10 resultados)"
"2026-06-02 02:09:09.659584","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 02:12:46.705770","a urna é fraudada?","Google Fact Check","Falso (10 resultados)"
"2026-06-02 02:13:25.516924","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 02:13:37.510274","a urna é fraudada?","Google Fact Check","Falso (10 resultados)"
"2026-06-02 02:17:29.616929","a urna é fraudada?","Google Fact Check","Falso (10 resultados)"
"2026-06-02 02:21:55.175111","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 02:25:58.073904","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 02:30:40.805806","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 02:37:24.103071","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 02:46:03.296040","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 02:46:17.290490","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 02:50:35.956970","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 02:51:17.140629","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 02:51:28.693089","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 02:54:36.094251","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 10:43:10.887390","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 10:43:19.848504","teste","Machine Learning","Falso"
"2026-06-02 10:43:58.175503","a urna é fraude?","Google Fact Check","Falso (10 resultados)"
"2026-06-02 10:44:04.628755","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 10:44:18.356718","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 10:45:57.499744","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 10:46:03.080028","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 10:46:15.904077","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 10:46:23.697095","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 10:46:48.859793","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 10:47:20.381348","teste","Google Fact Check","Falso (10 resultados)"
"2026-06-02 10:49:18.604225","teste","Google Fact Check","Falso (10 resultados)"
